gid;place_name;stop_name;lon;lat
de:08317:33013;Achern;Bahnhof;8.065003;48.633700
de:08317:30032;Achern;Gymnasium;8.081478;48.635831
de:08125:2032;Affaltrach;Affaltrach;9.379130;49.137826
de:08226:37;Altlußheim;Raiffeisenbank;8.497649;49.302517
de:08226:38;Altlußheim;Rebstöckl;8.497820;49.302066
de:08216:32231;Altschweier;Grautenbach;8.151915;48.696311
de:08216:32230;Altschweier;Kirche;8.161320;48.698191
de:08216:32229;Altschweier;Tankstelle;8.167204;48.699151
de:08216:6411;Au am Rhein;Diehl;8.241297;48.954208
de:08216:6413;Au am Rhein;Elchesheimer Str.;8.232952;48.949536
de:08216:32075;Au am Rhein;Industriegebiet;8.246534;48.945253
de:08216:6412;Au am Rhein;Ortsmitte;8.239087;48.950751
de:08216:6419;Au am Rhein;Würmersheimer Str.;8.239968;48.949831
de:08215:8616;Auerbach (Karlsbad);Ahornweg;8.526899;48.912190
de:08215:8614;Auerbach (Karlsbad);Am Neubruch;8.533124;48.918235
de:08215:8607;Auerbach (Karlsbad);Hailerstraße;8.528129;48.910561
de:08215:8608;Auerbach (Karlsbad);Rathaus;8.531956;48.914056
de:08215:8613;Auerbach (Karlsbad);Rosenweg;8.534211;48.916027
de:08215:8615;Auerbach (Karlsbad);Zehntstraße;8.529306;48.916051
de:08436:1584;Aulendorf (Württ);Haslach, L275;9.682473;47.964176
de:05554:21231;Averesch;Abzw. L560;6.953670;52.081665
de:07314:2282;BASF;B714;8.429746;49.510058
de:07314:11025;BASF;B818;8.427922;49.514170
de:07314:2211;BASF;C600;8.431246;49.507305
de:07314:2307;BASF;C703;8.429818;49.509883
de:07314:2183;BASF;F206;8.430815;49.498094
de:07314:2245;BASF;J601;8.421571;49.505118
de:07314:2256;BASF;L541;8.422820;49.515634
de:07314:2257;BASF;L745;8.419235;49.512421
de:07314:2279;BASF;M401;8.423655;49.516346
de:07314:2228;BASF;M810;8.415498;49.509743
de:07314:11049;BASF;O520;8.418876;49.518008
